;Runway 14
N053.53.45.962 W001.42.25.633 N053.59.41.210 W001.51.35.065
N053.53.52.015 W001.42.14.329 N053.53.39.910 W001.42.36.937
N053.54.36.421 W001.43.22.862 N053.54.24.316 W001.43.45.477
N053.55.20.827 W001.44.31.436 N053.55.08.722 W001.44.54.058
N053.56.13.303 W001.45.24.966 N053.55.45.058 W001.46.17.765
N053.56.49.639 W001.46.48.706 N053.56.37.534 W001.47.11.341
N053.57.34.045 W001.47.57.402 N053.57.21.940 W001.48.20.044
N053.58.18.451 W001.49.06.139 N053.58.06.346 W001.49.28.787
N053.59.02.857 W001.50.14.916 N053.58.50.752 W001.50.37.571
N053.59.55.333 W001.51.08.627 N053.59.27.088 W001.52.01.504
;Runway 32
N053.50.08.484 W001.36.50.711 N053.40.31.114 W001.22.05.883
N053.50.14.535 W001.36.39.422 N053.50.02.433 W001.37.02.001
N053.49.30.122 W001.35.31.121 N053.49.18.019 W001.35.53.693
N053.48.45.709 W001.34.22.861 N053.48.33.606 W001.34.45.426
N053.48.09.364 W001.32.59.601 N053.47.41.125 W001.33.52.239
N053.47.16.883 W001.32.06.460 N053.47.04.780 W001.32.29.013
N053.46.32.470 W001.30.58.320 N053.46.20.367 W001.31.20.866
N053.45.48.057 W001.29.50.220 N053.45.35.954 W001.30.12.759
N053.45.03.644 W001.28.42.160 N053.44.51.541 W001.29.04.692
N053.44.27.299 W001.27.19.122 N053.43.59.059 W001.28.11.683
N053.43.34.817 W001.26.26.159 N053.43.22.715 W001.26.48.679
N053.42.50.404 W001.25.18.219 N053.42.38.302 W001.25.40.732
N053.42.05.991 W001.24.10.318 N053.41.53.889 W001.24.32.824
N053.41.21.578 W001.23.02.457 N053.41.09.475 W001.23.24.957
N053.40.45.233 W001.21.39.641 N053.40.16.994 W001.22.32.124
