OQ04I N053.07.06.150 W004.33.08.930
OQ04F N053.11.04.560 W004.28.07.260
OQ22I N053.23.59.820 W004.11.41.200
OQ22F N053.20.01.670 W004.16.44.940
OQM01 N053.11.56.030 W004.27.02.130
OQM02 N053.19.11.940 W004.17.48.370
OQM03 N053.22.13.240 W004.24.26.800
ANTEF N053.10.07.460 W004.39.45.500
DODAV N053.26.52.540 W004.50.25.190
EFFOL N053.02.58.980 W004.24.11.090
EFHOP N053.19.52.600 W004.02.39.910
EMZUN N053.03.48.680 W004.46.43.090
MOZWA N053.03.07.740 W004.38.10.140
ONWER N053.27.01.160 W004.18.20.330
UFPOZ N053.27.57.970 W004.06.37.000
