;Gatwick Taxiway Labels
N051.09.10.357:W000.10.05.110:EGKK Taxiways:A
N051.09.12.814:W000.09.57.293:EGKK Taxiways:AN
N051.09.09.725:W000.10.13.062:EGKK Taxiways:AN
N051.09.07.325:W000.10.31.247:EGKK Taxiways:AN
N051.09.07.931:W000.10.12.683:EGKK Taxiways:AS
N051.09.32.195:W000.10.13.856:EGKK Taxiways:L
N051.09.28.535:W000.10.25.080:EGKK Taxiways:L
N051.09.22.148:W000.11.09.064:EGKK Taxiways:L
N051.09.14.896:W000.11.15.952:EGKK Taxiways:S
N051.09.12.796:W000.10.52.727:EGKK Taxiways:Q
N051.09.32.447:W000.10.56.356:EGKK Taxiways:Q
N051.09.33.192:W000.10.51.126:EGKK Taxiways:QA
N051.09.27.383:W000.10.52.213:EGKK Taxiways:QB
N051.09.36.289:W000.10.55.435:EGKK Taxiways:QC
N051.09.11.982:W000.10.57.293:EGKK Taxiways:R
N051.09.20.533:W000.10.58.175:EGKK Taxiways:RA
N051.09.17.794:W000.10.41.848:EGKK Taxiways:K
N051.09.24.170:W000.10.03.353:EGKK Taxiways:K
N051.09.26.382:W000.10.13.986:EGKK Taxiways:KA
N051.09.16.609:W000.10.26.482:EGKK Taxiways:P
N051.09.17.291:W000.10.21.742:EGKK Taxiways:N
N051.09.17.398:W000.10.24.867:EGKK Taxiways:NA
N051.08.58.796:W000.11.54.842:EGKK Taxiways:J
N051.09.10.619:W000.10.31.901:EGKK Taxiways:J
N051.09.15.275:W000.10.11.732:EGKK Taxiways:J
N051.09.06.681:W000.11.35.786:EGKK Taxiways:T
N051.09.11.355:W000.11.47.275:EGKK Taxiways:U
N051.09.11.397:W000.09.48.025:EGKK Taxiways:V
N051.09.14.137:W000.09.53.846:EGKK Taxiways:W
N051.08.55.565:W000.10.09.714:EGKK Taxiways:Y
N051.09.12.392:W000.10.13.678:EGKK Taxiways:Z
